"Incident Case Id","Date","Clearance Code Inc Type","PGPD Reporting Area","PGPD Sector","PGPD BEAT","Street Number","Street Name","Latitude","Longitude","Location"
"PP23072900000854","07/29/2023","AUTO, STOLEN","313","G","G4","1700 BLOCK","BRIGHTSEAT RD SB","38.91257764399","-76.85481202602","(38.91257764399052,-76.85481202602386)"
"PP23072900000874","07/29/2023","THEFT","214","B","B6","8300 BLOCK","BALTIMORE AVE NB","38.99262997508","-76.93256777525","(38.99262997508049,-76.93256777524948)"
"PP23072900000917","07/29/2023","THEFT FROM AUTO","238","B","B5","7700 BLOCK","HARKINS RD","38.95260381699","-76.87416894734","(38.952603816986084,-76.87416894733906)"
"PP23072900001038","07/29/2023","ASSAULT","415","H","H2","4100 BLOCK","SOUTHERN AVE","38.8646774739","-76.94536302984","(38.8646774739027,-76.94536302983761)"
"PP23072900001401","07/29/2023","ACCIDENT","603","J","J5",,"LINDSAY RD / LIVINGSTON RD","38.79217106104","-76.98637343943","(38.79217106103897,-76.98637343943119)"
"PP23072900001490","07/29/2023","ROBBERY, OTHER","710","E","E5","13200 BLOCK","CAPE SHELL CT","38.87222339213","-76.77836860716","(38.872223392128944,-76.77836860716343)"
"PP23072900001568","07/29/2023","THEFT","657","J","J41","6800 BLOCK","OXON HILL RD","38.79479572177","-77.00080911815","(38.79479572176933,-77.00080911815166)"
"PP23072900002043","07/29/2023","AUTO, STOLEN & RECOVERED","841","D","D6","9300 BLOCK","WYATT DR","38.96277439594","-76.8492346108","(38.96277439594269,-76.84923461079597)"
"PP23072900002226","07/29/2023","ACCIDENT","424","H","H6","6300 BLOCK","HIL MAR DR","38.84368014336","-76.90008753538","(38.84368014335632,-76.90008753538132)"
"PP23072900002308","07/29/2023","ACCIDENT WITH IMPOUND","842","D","D6",,"MARTIN LUTHER KING JUNIOR HWY EB / FORBES BLVD","38.95227572322","-76.83447086811","(38.95227572321892,-76.83447086811066)"
"PP23072900002358","07/29/2023","ASSAULT","110","A","A4","1400 BLOCK","KANAWHA ST","38.98836489022","-76.98342069983","(38.98836489021778,-76.98342069983482)"
"PP23073000000122","07/30/2023","ACCIDENT WITH IMPOUND","642","W","W6","6900 BLOCK","ACCOKEEK RD","38.69341798127","-76.88762035966","(38.693417981266975,-76.8876203596592)"
"PP23073000000238","07/30/2023","ACCIDENT","313","G","G4","7100 BLOCK","HILL OAKS RD","38.9007666409","-76.88302719593","(38.900766640901566,-76.88302719593048)"
"PP23073000000256","07/30/2023","AUTO, STOLEN","607","K","K5","4600 BLOCK","SHARON RD","38.80988755822","-76.92797461152","(38.80988755822182,-76.92797461152077)"
"PP23073000000350","07/30/2023","ACCIDENT WITH IMPOUND","124","A","A3",,"RIGGS RD NB / EAST WEST HWY EB","38.9719607234","-76.97948369384","(38.971960723400116,-76.97948369383812)"
"PP23073000000506","07/30/2023","B & E, COMMERCIAL","932","C","C3","10600 BLOCK","BALTIMORE AVE SB","39.03101572394","-76.9135389477","(39.03101572394371,-76.91353894770145)"
"PP23073000000527","07/30/2023","AUTO, STOLEN & RECOVERED","709","E","E4","4700 BLOCK","JOHN ROGERS BLVD NB","38.82596364617","-76.76622952521","(38.82596364617348,-76.76622952520847)"
"PP23073000000564","07/30/2023","SEX OFFENSE","609","J","J4","8700 BLOCK","DOVER ST","38.76789289713","-77.02246260643","(38.76789289712906,-77.02246260643005)"
"PP23073000000569","07/30/2023","ACCIDENT WITH IMPOUND","835","D","D1",,"GOOD LUCK RD / EDGERTON DR","38.97950664163","-76.87088811398","(38.97950664162636,-76.87088811397552)"
"PP23073000000592","07/30/2023","ACCIDENT","609","J","J4",,,"38.766252473","-77.00540228188","(38.76625247299671,-77.00540228188038)"
"PP23073000000671","07/30/2023","ACCIDENT WITH IMPOUND","424","H","H6",,"WALLS LN / SUITLAND RD","38.83843080699","-76.90796153247","(38.83843080699444,-76.90796153247356)"
"PP23073000000768","07/30/2023","ACCIDENT WITH IMPOUND","507","K","K3",,"SAINT CLAIR DR / KEITH ST","38.83613422513","-76.94601920247","(38.83613422513008,-76.94601920247078)"
"PP23073000000788","07/30/2023","THEFT FROM AUTO","418","K","H6","2900 BLOCK","DONNELL DR NB","38.84925755858","-76.88466760516","(38.84925755858421,-76.88466760516167)"
"PP23073000000858","07/30/2023","THEFT","773","E","E5","15300 BLOCK","MARLBORO PIKE","38.82268281281","-76.7399828583","(38.822682812809944,-76.73998285830021)"
"PP23073000000998","07/30/2023","AUTO, STOLEN","505","K","K1","4400 BLOCK","23RD PKWY SB","38.82924447954","-76.95651786029","(38.82924447953701,-76.95651786029339)"
"PP23073000001037","07/30/2023","ACCIDENT","315","G","G4","8100 BLOCK","SHERIFF RD","38.91421805322","-76.86563877761","(38.9142180532217,-76.86563877761364)"
"PP23073000001060","07/30/2023","ACCIDENT WITH IMPOUND","612","J","J6","900 BLOCK","PALMER RD","38.766252473","-76.99326319993","(38.76625247299671,-76.99326319992542)"
"PP23073000001084","07/30/2023","ACCIDENT WITH IMPOUND","839","D","D5",,"ANNAPOLIS RD EB / CARTER AVE","38.96539905667","-76.84595377743","(38.96539905667305,-76.84595377743244)"
"PP23073000001106","07/30/2023","ACCIDENT","301","G","G3","1700 BLOCK","OLIVE ST","38.91126531363","-76.93256777525","(38.911265313625336,-76.93256777524948)"
"PP23073000001144","07/30/2023","ROBBERY, OTHER","837","D","D1","9300 BLOCK","4T ST","38.9719607234","-76.85054694116","(38.971960723400116,-76.85054694116116)"
"PP23073000001189","07/30/2023","THEFT FROM AUTO","429","K","K2","3300 BLOCK","CURTIS DR","38.84794522822","-76.94897194207","(38.84794522821903,-76.94897194206715)"
"PP23073000001264","07/30/2023","THEFT FROM AUTO","827","D","D2","9900 BLOCK","GREENBELT RD EB","38.99066147208","-76.83414277434","(38.99066147208214,-76.83414277434349)"
"PP23073000001367","07/30/2023","ACCIDENT","235","B","B4",,"FREEPORT ST / TRINIDAD ST","38.95293189585","-76.89877519011","(38.95293189585209,-76.89877519011497)"
"PP23073000001401","07/30/2023","AUTO, STOLEN","405","H","H3","900 BLOCK","SHADY GLEN DR","38.87681655586","-76.8813867718","(38.87681655585766,-76.88138677179813)"
"PP23073000001422","07/30/2023","AUTO, STOLEN","278","B","B12","6300 BLOCK","ANNAPOLIS RD EB","38.93849623203","-76.90861769021","(38.938496232032776,-76.90861769020557)"
"PP23073000001506","07/30/2023","ACCIDENT WITH IMPOUND","835","D","D1",,"ANNAPOLIS RD WB / PRINCESS GARDEN PKWY","38.96146206558","-76.86301411688","(38.96146206557751,-76.86301411688328)"
"PP23073000001544","07/30/2023","AUTO, STOLEN","827","D","D2","9800 BLOCK","GOOD LUCK RD EB","38.98475597799","-76.83775170147","(38.98475597798824,-76.83775170147419)"
"PP23073000001635","07/30/2023","THEFT FROM AUTO","441","H","H2","5800 BLOCK","SILVER HILL RD NB","38.85385072231","-76.90796153247","(38.85385072231293,-76.90796153247356)"
"PP23073000001642","07/30/2023","ACCIDENT","308","G","G6",,"MARTIN LUTHER KING JUNIOR HWY EB / BELLE HAVEN DR NB","38.91651464999","-76.88269911706","(38.91651464998722,-76.88269911706448)"
"PP23073000001676","07/30/2023","ACCIDENT WITH IMPOUND","503","K","K2",,"BRANCH AVE NB / IVERSON ST WB","38.83941505849","-76.94634728134","(38.839415058493614,-76.94634728133678)"
"PP23073000001715","07/30/2023","THEFT","424","H","H6","3700 BLOCK","DONNELL DR","38.84335206449","-76.88499569893","(38.84335206449032,-76.88499569892883)"
"PP23073000001790","07/30/2023","THEFT","3,130","G","G7","1000 BLOCK","CASLON WAY","38.90306322277","-76.85874903202","(38.90306322276592,-76.85874903202057)"
"PP23073000001848","07/30/2023","ROBBERY, OTHER","720","H","H7",,"CENTRAL PARK DR / ROCK SPRING DR","38.83285339177","-76.8423448652","(38.83285339176655,-76.8423448652029)"
"PP23073000001852","07/30/2023","THEFT FROM AUTO","427","H","H5","3900 BLOCK","REGENCY PKWY","38.8354780674","-76.9115704447","(38.83547806739807,-76.9115704447031)"
"PP23073000001864","07/30/2023","ACCIDENT WITH IMPOUND","415","H","H2","4800 BLOCK","MARLBORO PIKE EB","38.87255147099","-76.93092736602","(38.87255147099495,-76.9309273660183)"
"PP23073000001886","07/30/2023","AUTO, STOLEN","503","K","K2","3400 BLOCK","BRANCH AVE SB","38.84630480409","-76.95225277543","(38.846304804086685,-76.95225277543068)"
"PP23073000001903","07/30/2023","ACCIDENT","918","C","C3",,"RITZ WAY EB / BALTIMORE AVE NB","39.05759046972","-76.89024503529","(39.05759046971798,-76.89024503529072)"
"PP23073000001904","07/30/2023","ASSAULT, SHOOTING","858","E","E2","1200 BLOCK","MERCANTILE LN","38.90700022876","-76.83545511961","(38.90700022876263,-76.83545511960983)"
"PP23073000001953","07/30/2023","AUTO, STOLEN","720","H","H7",,"PENNSYLVANIA OFRP ACCESS RD / ACCESS RD","38.83088488877","-76.85678052902","(38.830884888768196,-76.85678052902222)"
"PP23073000002075","07/30/2023","AUTO, STOLEN & RECOVERED","515","J","J1","700 BLOCK","IRVINGTON ST","38.82202664018","-76.99555978179","(38.82202664017677,-76.99555978178978)"
"PP23073000002091","07/30/2023","ACCIDENT","610","W","J4",,"INDIAN HEAD HWY SB / PALMER RD","38.766252473","-76.99457553029","(38.76625247299671,-76.9945755302906)"
"PP23073000002099","07/30/2023","ACCIDENT","514","J","J1","600 BLOCK","MAURY AVE","38.82202664018","-76.99916869402","(38.82202664017677,-76.99916869401932)"
"PP23073000002135","07/30/2023","AUTO, STOLEN","846","D","D6","3900 BLOCK","92N AVE","38.9388243109","-76.84857845306","(38.93882431089878,-76.84857845306396)"
"PP23073000002266","07/30/2023","AUTO, STOLEN","3,130","G","G7","1000 BLOCK","ATLEE DR","38.90306322277","-76.86432644725","(38.90306322276592,-76.86432644724846)"
"PP23073000002276","07/30/2023","ACCIDENT","611","J","J5","900 BLOCK","WHITE OAK DR","38.79053063691","-76.99031044543","(38.790530636906624,-76.9903104454279)"
"PP23073000002283","07/30/2023","ACCIDENT","702","E","E3",,"KETTERING DR / BENNINGTON DR","38.88665905595","-76.8111769408","(38.88665905594826,-76.81117694079876)"
"PP23073000000051","07/30/2023","ACCIDENT WITH IMPOUND","612","J","J6",,"PALMER RD / TUCKER RD","38.77478264272","-76.97292202711","(38.77478264272213,-76.97292202711105)"
"PP23073000000086","07/30/2023","THEFT FROM AUTO","827","D","D2","6800 BLOCK","KERMAN RD","38.98442789912","-76.83217428625","(38.98442789912224,-76.8321742862463)"
"PP23073000000183","07/30/2023","AUTO, STOLEN & RECOVERED","103","B","B7","9300 BLOCK","CHERRY HILL RD","39.01789239049","-76.93650478125","(39.01789239048958,-76.93650478124619)"
"PP23073000000218","07/30/2023","ACCIDENT WITH IMPOUND","502","K","K2",,"BRANCH AVE NB / NAYLOR RD WB","38.84794522822","-76.95290894806","(38.84794522821903,-76.95290894806385)"
"PP23073000000374","07/30/2023","ACCIDENT","406","G","G7","7400 BLOCK","CALDER DR","38.88633097708","-76.8774497807","(38.88633097708225,-76.87744978070259)"
"PP23073000000407","07/30/2023","ROBBERY, COMMERCIAL","238","B","B5","7400 BLOCK","ANNAPOLIS RD EB","38.94932298362","-76.88663610816","(38.94932298362255,-76.88663610816002)"
"PP23073000000426","07/30/2023","ACCIDENT WITH IMPOUND","424","H","H6","5800 BLOCK","SUITLAND RD","38.82399514318","-76.88991694152","(38.823995143175125,-76.88991694152355)"
"PP23073000000547","07/30/2023","AUTO, STOLEN","313","G","G4","1700 BLOCK","BRIGHTSEAT RD SB","38.91388997436","-76.85481202602","(38.9138899743557,-76.85481202602386)"
"PP23073000000570","07/30/2023","B & E, COMMERCIAL","321","G","G1","7200 BLOCK","CENTRAL AVE WB","38.88862755895","-76.8813867718","(38.88862755894661,-76.88138677179813)"
"PP23073000000583","07/30/2023","AUTO, STOLEN","234","B","B4","4800 BLOCK","66T AVE","38.94604215026","-76.90730535984","(38.94604215025902,-76.9073053598404)"
"PP23073000000596","07/30/2023","AUTO, STOLEN","709","E","E4","13500 BLOCK","LORD BALTIMORE PL","38.82891640067","-76.76918227971","(38.828916400671005,-76.769182279706)"
"PP23073000000706","07/30/2023","THEFT","614","K","K6","2000 BLOCK","ROSECROFT BLVD","38.79381147027","-76.97292202711","(38.79381147027016,-76.97292202711105)"
"PP23073000000731","07/30/2023","THEFT","417","H","H6","6600 BLOCK","MARLBORO PIKE EB","38.85188223422","-76.89319777489","(38.851882234215736,-76.89319777488708)"
"PP23073000000737","07/30/2023","AUTO, STOLEN","609","J","J4","100 BLOCK","AUTUMN LAKE WAY","38.77150180936","-77.00769886374","(38.7715018093586,-77.00769886374474)"
"PP23073000000819","07/30/2023","THEFT FROM AUTO","603","J","J5","600 BLOCK","CARSON AVE","38.79577997327","-76.99687211215","(38.79577997326851,-76.99687211215496)"
"PP23073000000874","07/30/2023","ACCIDENT WITH IMPOUND","847","D","D6",,,"38.94046472013","-76.80002211034","(38.94046472012997,-76.80002211034298)"
"PP23073000000892","07/30/2023","B & E, RESIDENTIAL","709","E","E4","4700 BLOCK","JOHN ROGERS BLVD NB","38.82596364617","-76.76622952521","(38.82596364617348,-76.76622952520847)"
"PP23073000000947","07/30/2023","B & E, COMMERCIAL","120","B","B6","3700 BLOCK","CAMPUS DR","38.98409980536","-76.94930003583","(38.98409980535507,-76.94930003583431)"
"PP23073000001118","07/30/2023","AUTO, STOLEN","417","H","H6","6100 BLOCK","ROSE BAY DR","38.85155414045","-76.90041561425","(38.85155414044857,-76.90041561424732)"
"PP23073000001179","07/30/2023","ACCIDENT","444","H","H4","5700 BLOCK","EAST PL","38.85089798272","-76.90861769021","(38.85089798271656,-76.90861769020557)"
"PP23073000001242","07/30/2023","ACCIDENT","632","F","F4","11500 BLOCK","COSCA PARK PL","38.73245988786","-76.91025811434","(38.732459887862206,-76.91025811433792)"
"PP23073000001314","07/30/2023","THEFT","104","A","A7","9100 BLOCK","RIGGS RD","39.0041128993","-76.96996927261","(39.004112899303436,-76.96996927261353)"
"PP23073000001357","07/30/2023","THEFT FROM AUTO","321","G","G1","6800 BLOCK","CENTRAL AVE WB","38.88764330745","-76.88958886266","(38.88764330744743,-76.88958886265755)"
"PP23073000001438","07/30/2023","AUTO, STOLEN","815","D","D2","10000 BLOCK","AEROSPACE RD","38.99328614771","-76.83250236511","(38.99328614771366,-76.8325023651123)"
"PP23073000001448","07/30/2023","ACCIDENT WITH IMPOUND","441","H","H2",,"MARLBORO PIKE EB / SILVER HILL RD NB","38.85713155568","-76.90435260534","(38.85713155567646,-76.90435260534286)"
"PP23073000001481","07/30/2023","THEFT","815","D","D2","9900 BLOCK","GREENBELT RD WB","38.99098956585","-76.83447086811","(38.990989565849304,-76.83447086811066)"
"PP23073000001520","07/30/2023","ACCIDENT","931","C","C3",,"RHODE ISLAND AVE / SELLMAN RD","39.03495272994","-76.91288277507","(39.034952729940414,-76.91288277506828)"
"PP23073000001572","07/30/2023","ACCIDENT WITH IMPOUND","841","D","D6",,"MORLEY RD / ANNAPOLIS RD EB","38.96375864744","-76.85317161679","(38.963758647441864,-76.85317161679268)"
"PP23073000001697","07/30/2023","AUTO, STOLEN","624","F","F2","8500 BLOCK","MIMOSA AVE","38.77182988822","-76.89090119302","(38.7718298882246,-76.89090119302273)"
"PP23073000001731","07/30/2023","AUTO, STOLEN","236","B","B4","6800 BLOCK","RIVERDALE RD EB","38.96375864744","-76.89713478088","(38.963758647441864,-76.89713478088379)"
"PP23073000001737","07/30/2023","ACCIDENT","407","E","G7",,"RITCHIE MARLBORO RD NB / CAP BELT OL A HWY NB","38.86894255877","-76.8443133682","(38.86894255876541,-76.84431336820126)"
"PP23073000001791","07/30/2023","ACCIDENT","841","D","D6","9300 BLOCK","WYATT DR","38.96277439594","-76.84792228043","(38.96277439594269,-76.8479222804308)"
"PP23073000001815","07/30/2023","ACCIDENT","610","J","J4",,"LIVINGSTON RD / PALMER RD","38.766252473","-76.99457553029","(38.76625247299671,-76.9945755302906)"
"PP23073000001879","07/30/2023","AUTO, STOLEN","444","H","H4","3000 BLOCK","IRMA CT","38.84892947972","-76.92141294479","(38.84892947971821,-76.9214129447937)"
"PP23073000001898","07/30/2023","THEFT","702","E","E3","10600 BLOCK","CAMPUS WAY S","38.89650155604","-76.82298794389","(38.89650155603886,-76.82298794388771)"
"PP23073000001992","07/30/2023","THEFT FROM AUTO","423","H","H4","4700 BLOCK","MEDORA DR","38.85680347681","-76.92272527516","(38.856803476810455,-76.92272527515888)"
"PP23073000002066","07/30/2023","ACCIDENT","425","H","H7",,"PENN AVE / FORESTVILLE RD NB","38.84105548263","-76.87416894734","(38.84105548262596,-76.87416894733906)"
"PP23073000002188","07/30/2023","ACCIDENT","828","D","D5","10700 BLOCK","MARIETTA ST","38.98311555386","-76.82036328316","(38.983115553855896,-76.82036328315735)"
"PP23073100000019","07/31/2023","ROBBERY, OTHER","313","G","G4","400 BLOCK","WARFIELD DR","38.89486114681","-76.86760728061","(38.89486114680767,-76.86760728061199)"
"PP23073100000053","07/31/2023","ACCIDENT","618","F","F1","6200 BLOCK","ALLENTOWN RD NB","38.80365397036","-76.90599302948","(38.803653970360756,-76.90599302947521)"
"PP23073100000061","07/31/2023","ACCIDENT","3,130","H","G7",,"CAP BELT IL A HWY SB / CENTRAL AVE WB","38.89223647118","-76.8472661078","(38.89223647117615,-76.84726610779762)"
"PP23073100000124","07/31/2023","ACCIDENT WITH IMPOUND","655","W","W4",,"INDIAN HEAD HWY NB / OLD FORT RD","38.75575381517","-76.99293510616","(38.7557538151741,-76.99293510615826)"
"PP23073100000190","07/31/2023","ACCIDENT WITH IMPOUND","135","A","A2","1200 BLOCK","CHILLUM RD EB","38.95949356258","-76.98998236656","(38.959493562579155,-76.98998236656189)"
"PP23073100000363","07/31/2023","AUTO, STOLEN & RECOVERED","928","C","C2","3900 BLOCK","CALVERTON BLVD NB","39.05168497562","-76.93748903275","(39.051684975624084,-76.93748903274536)"
"PP23073100000374","07/31/2023","ACCIDENT","105","A","A7","2400 BLOCK","CHEROKEE ST","39.00444097817","-76.96767269075","(39.00444097816944,-76.96767269074917)"
"PP23073100000381","07/31/2023","AUTO, STOLEN","233","B","B3","5900 BLOCK","MUSTANG DR","38.95883738995","-76.9135389477","(38.958837389945984,-76.91353894770145)"
"PP23073100000404","07/31/2023","B & E, COMMERCIAL","441","H","H2","5700 BLOCK","SILVER HILL RD NB","38.85417881608","-76.90632110834","(38.85417881608009,-76.90632110834122)"
"PP23073100000411","07/31/2023","B & E, COMMERCIAL","120","B","B6","3700 BLOCK","CAMPUS DR","38.98409980536","-76.94930003583","(38.98409980535507,-76.94930003583431)"
"PP23073100000445","07/31/2023","ACCIDENT WITH IMPOUND","648","W","W2",,"INDIAN HEAD HWY NB / LIVINGSTON RD","38.67012405396","-77.01163585484","(38.67012405395508,-77.01163585484028)"
"PP23073100000456","07/31/2023","THEFT","125","A","A3","6600 BLOCK","KARLSON CT","38.96671138704","-76.99129469693","(38.96671138703823,-76.99129469692707)"
"PP23073100000462","07/31/2023","THEFT FROM AUTO","742","F","F5","8300 BLOCK","POPLAR HILL DR","38.74361473322","-76.86334219575","(38.74361473321915,-76.86334219574928)"
"PP23073100000468","07/31/2023","THEFT FROM AUTO","408","H","H1","1200 BLOCK","DRUM AVE","38.87484806776","-76.92764653265","(38.87484806776047,-76.92764653265476)"
"PP23073100000501","07/31/2023","ACCIDENT","424","H","H6","6100 BLOCK","SURREY SQUARE LN","38.84696097672","-76.90238411725","(38.846960976719856,-76.90238411724567)"
"PP23073100000568","07/31/2023","THEFT FROM AUTO","124","TRU","A3","1100 BLOCK","CHILLUM MANOR RD","38.96933606267","-76.99031044543","(38.969336062669754,-76.9903104454279)"
"PP23073100000570","07/31/2023","ASSAULT","163","A","A1","4500 BLOCK","22ND AVE","38.94440172613","-76.97259394825","(38.94440172612667,-76.97259394824505)"
"PP23073100000622","07/31/2023","THEFT FROM AUTO","856","TRU","E2","9700 BLOCK","LANDOVER RD WB","38.91356189549","-76.83972018957","(38.91356189548969,-76.83972018957138)"
"PP23073100000643","07/31/2023","AUTO, STOLEN","937","C","C3","11200 BLOCK","EVANS TRL","39.04184247553","-76.93781711161","(39.041842475533485,-76.93781711161137)"
"PP23073100000695","07/31/2023","THEFT","418","H","H6","3200 BLOCK","DONNELL DR NB","38.84696097672","-76.88269911706","(38.846960976719856,-76.88269911706448)"
"PP23073100000828","07/31/2023","AUTO, STOLEN","859","TRU","E2","9800 BLOCK","SPANISH OAK WAY","38.91060914099","-76.83512702584","(38.910609140992165,-76.83512702584267)"
"PP23073100001070","07/31/2023","ROBBERY, OTHER","407","G","G7","8800 BLOCK","HAMPTON MALL DR N","38.88961181045","-76.85218736529","(38.889611810445786,-76.8521873652935)"
"PP23073100001079","07/31/2023","THEFT FROM AUTO","742","F","F5","8100 BLOCK","HOLLY LN","38.74394281209","-76.86531069875","(38.74394281208515,-76.86531069874763)"
"PP23073100001137","07/31/2023","AUTO, STOLEN","657","J","J41","6800 BLOCK","OXON HILL RD","38.79479572177","-77.00080911815","(38.79479572176933,-77.00080911815166)"
"PP23073100001164","07/31/2023","ACCIDENT WITH IMPOUND","508","K","K3",,"SAINT BARNABAS RD SB / RALEIGH RD","38.82333897054","-76.94995619357","(38.823338970541954,-76.94995619356632)"
"PP23073100001177","07/31/2023","AUTO, STOLEN","175","A","A5","6700 BLOCK","BELCREST RD","38.97130456567","-76.95389319956","(38.971304565668106,-76.95389319956303)"
"PP23073100001308","07/31/2023","AUTO, STOLEN","742","F","F5","8200 BLOCK","POPLAR HILL DR","38.74525514245","-76.86531069875","(38.74525514245033,-76.86531069874763)"
"PP23073100001357","07/31/2023","ACCIDENT","510","K","K5","4500 BLOCK","SAINT BARNABAS RD NB","38.82694789767","-76.94372260571","(38.82694789767265,-76.94372260570526)"
"PP23073100001379","07/31/2023","ACCIDENT","629","W","W4","10000 BLOCK","ALLENTOWN RD","38.75214488804","-76.96865694225","(38.752144888043404,-76.96865694224834)"
"PP23073100001506","07/31/2023","ACCIDENT WITH IMPOUND","733","F","F5","8000 BLOCK","ROSARYVILLE RD","38.78101623058","-76.83709552884","(38.78101623058319,-76.83709552884102)"
"PP23073100001542","07/31/2023","ASSAULT","916","C","C4","9600 BLOCK","MUIRKIRK RD","39.06283980608","-76.84201678634","(39.062839806079865,-76.8420167863369)"
"PP23073100001634","07/31/2023","ACCIDENT","738","F","F5",,"SURRATTS RD / FRANK TIPPETT RD","38.73770922422","-76.83020578325","(38.73770922422409,-76.83020578324795)"
"PP23073100001695","07/31/2023","THEFT","656","J","J5","6100 BLOCK","OXON HILL RD SB","38.80595056713","-76.98243644834","(38.805950567126274,-76.98243644833565)"
"PP23073100001711","07/31/2023","ACCIDENT WITH IMPOUND","633","F","F4","8900 BLOCK","BLK WOODYARD RD NB","38.76789289713","-76.88532377779","(38.76789289712906,-76.88532377779484)"
"PP23073100001783","07/31/2023","ASSAULT","883","D","D3","13500 BLOCK","HOFFMAN CT","38.98967722058","-76.77049461007","(38.98967722058296,-76.77049461007118)"
"PP23073100001838","07/31/2023","AUTO, STOLEN","315","G","G4","8200 BLOCK","ALLENDALE TER","38.91618655622","-76.86563877761","(38.916186556220055,-76.86563877761364)"
"PP23073100001854","07/31/2023","ROBBERY, OTHER","124","A","A3","6700 BLOCK","RIGGS RD SB","38.9719607234","-76.9798117727","(38.971960723400116,-76.97981177270412)"
"PP23073100001903","07/31/2023","ACCIDENT WITH IMPOUND","169","B","B7",,"BALTIMORE AVE SB / EDGEWOOD RD","39.01592388749","-76.92731843889","(39.015923887491226,-76.9273184388876)"
"PP23073100002083","07/31/2023","THEFT FROM AUTO","503","K","K2","3600 BLOCK","28T PKWY","38.83974313736","-76.95192469656","(38.83974313735962,-76.95192469656467)"
"PP23073100002165","07/31/2023","AUTO, STOLEN","406","G","G7",,"SHADY GLEN DR / WALKER MILL DR","38.88764330745","-76.87712170184","(38.88764330744743,-76.87712170183659)"
"PP23073100002168","07/31/2023","AUTO, STOLEN","509","K","K3",,"BEECH RD / LAUREL RD","38.82399514318","-76.93912944198","(38.823995143175125,-76.93912944197655)"
"PP23073100002198","07/31/2023","THEFT","835","D","D1","5900 BLOCK","PRINCESS GARDEN PKWY","38.96179014444","-76.86498260498","(38.96179014444351,-76.86498260498047)"
"PP23073100002276","07/31/2023","ACCIDENT WITH IMPOUND","887","D","D1",,"GOOD LUCK RD EB / GREENBELT RD EB","38.99066147208","-76.83578319848","(38.99066147208214,-76.83578319847584)"
"PP23073100002332","07/31/2023","B & E, RESIDENTIAL","116","A","A3","1500 BLOCK","AMHERST RD","38.97622580826","-76.98210836947","(38.976225808262825,-76.98210836946964)"
"PP23073100002396","07/31/2023","AUTO, STOLEN","237","B","B4","7200 BLOCK","GALLATIN ST","38.95096339285","-76.88991694152","(38.95096339285374,-76.88991694152355)"
"PP23073100002445","07/31/2023","AUTO, STOLEN","313","G","G4","7600 BLOCK","GREEN WILLOW CT","38.8997823894","-76.87482510507","(38.89978238940239,-76.87482510507107)"
"PP23073100000026","07/31/2023","ACCIDENT WITH IMPOUND","842","D","D6",,"ANNAPOLIS RD EB / LOTTSFORD VISTA RD","38.95818123221","-76.82561261952","(38.958181232213974,-76.82561261951923)"
"PP23073100000036","07/31/2023","THEFT FROM AUTO","842","D","D6","5400 BLOCK","WHITFIELD CHAPEL RD","38.95522847772","-76.85776478052","(38.955228477716446,-76.85776478052139)"
"PP23073100000149","07/31/2023","ASSAULT","508","K","K3","3700 BLOCK","RIVIERA ST","38.83121298254","-76.94339452684","(38.83121298253536,-76.94339452683926)"
"PP23073100000155","07/31/2023","AUTO, STOLEN","441","H","H2","2100 BLOCK","BROOKS DR NB","38.85844390094","-76.91517935693","(38.8584439009428,-76.91517935693264)"
"PP23073100000174","07/31/2023","ACCIDENT WITH IMPOUND","111","A","A6","2400 BLOCK","UNIVERSITY BLVD WB","38.98508405685","-76.96734461188","(38.98508405685425,-76.96734461188316)"
"PP23073100000202","07/31/2023","B & E, COMMERCIAL","407","G","G7","9100 BLOCK","ALAKING CT","38.8695987314","-76.84890653193","(38.86959873139858,-76.84890653192997)"
"PP23073100000284","07/31/2023","ACCIDENT WITH IMPOUND","856","E","E2","1900 BLOCK","GRAND WAY BLVD","38.91585847735","-76.8403763622","(38.91585847735405,-76.84037636220455)"
"PP23073100000305","07/31/2023","AUTO, STOLEN","246","B","B1","3700 BLOCK","WARNER AVE","38.93455922604","-76.89713478088","(38.93455922603607,-76.89713478088379)"
"PP23073100000378","07/31/2023","AUTO, STOLEN","615","K","K6","7200 BLOCK","JAYWICK AVE","38.79085873067","-76.95520552993","(38.79085873067379,-76.95520552992821)"
"PP23073100000399","07/31/2023","AUTO, STOLEN","235","B","B4","6600 BLOCK","GREENLAND ST","38.95457230508","-76.89746285975","(38.954572305083275,-76.8974628597498)"
"PP23073100000426","07/31/2023","AUTO, STOLEN","508","K","K3","4600 BLOCK","DALLAS PL","38.8276040554","-76.9496281147","(38.82760405540466,-76.94962811470032)"
"PP23073100000467","07/31/2023","AUTO, STOLEN","443","K","K4","4300 BLOCK","TELFAIR BLVD","38.83121298254","-76.9135389477","(38.83121298253536,-76.91353894770145)"
"PP23073100000487","07/31/2023","THEFT FROM AUTO","923","TRU","C2",,"BELTSVILLE RD / BELTSVILLE DR","39.05332539976","-76.93388010561","(39.05332539975643,-76.93388010561466)"
"PP23073100000531","07/31/2023","B & E, COMMERCIAL","431","K","K3","3700 BLOCK","SAINT BARNABAS RD NB","38.83843080699","-76.94011369348","(38.83843080699444,-76.94011369347572)"
